CODE,SERIES_NAME,ATTRIBUTE_TITLE,DESCRIPTION,ATTRIBUTE_UNITS_OF_MEASURE,CITATION_URL,DATA_LICENSE,DATA_LICENSE_URL,CITATION_ADDRESS,PUBLICATION_DATE,PUBLICATION_TITLE
DEMENV5,DEM-parameters,Land surface elevation,DEM based on 100 m resolution from EarthEnv-DEM90. No additional post-processing has been applied to remove vegetation and filter noise.,meter,http://www.sciencedirect.com/science/article/pii/S0924271613002360,Creative Commons Attribution 4.0 International License,http://www.earthenv.org/DEM,,2014,"Robinson, N., Regetz, J., and Guralnick, R. P. (2014). EarthEnv-DEM90: A nearly-global, void-free, multi-scale smoothed, 90m digital elevation model from fused ASTER and SRTM data. ISPRS Journal of Photogrammetry and Remote Sensing, 87:2014, 57-67"
SLPMRG5,DEM-parameters,Terrain slope,Terrain slope based on DEMMRG5 derived in SAGA GIS and expressed in radians x 100.,radians x 100,http://geomorphometry.org/content/mdem250m,,https://lpdaac.usgs.gov/about/citing_lp_daac_and_data,,2014,
VBFMRG5,DEM-parameters,Multiresolution Index of Valley Bottom Flatness (MRVBF),"Multiresolution Index of Valley Bottom Flatness (MRVBF) based on DEMMRG5. Derived in SAGA GIS at 500 m, then downscaled to 250 m. Computationally very intensive operation.",meter x 100,http://geomorphometry.org/content/mdem250m,,https://lpdaac.usgs.gov/about/citing_lp_daac_and_data,,2014,
VDPMRG5,DEM-parameters,Valley depth,Valley depth based on DEMMRG5 i.e. vertical distance to a channel network base level derived in SAGA GIS.,meter x 10,http://geomorphometry.org/content/mdem250m,,https://lpdaac.usgs.gov/about/citing_lp_daac_and_data,,2014,
TWIMRG5,DEM-parameters,SAGA Wetness Index,"SAGA Wetness Index based on DEMMRG5. SAGA TWI is based on a modified catchment area calculation, which does not think of the flow as very thin film. As result it predicts for cells situated in valley floors with a small vertical distance to a channel a more realistic, higher potential soil moisture compared to the standard TWI calculation.",meter x 10,http://geomorphometry.org/content/mdem250m,,https://lpdaac.usgs.gov/about/citing_lp_daac_and_data,,2014,
TMDMOD3,MOD11A2,Mean annual LST (daytime) MODIS,Long-term averaged mean annual surface temperature (daytime) MODIS. Derived using a stack of MOD11A2 LST images.,Kelvin,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod11a3,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,
TMNMOD3,MOD11A2,Mean annual LST (nighttime) MODIS,Long-term averaged mean annual surface temperature (nighttime) MODIS. Derived using a stack of MOD11A2 LST images.,Kelvin,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod11a3,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,
PRSCHE3,Global precipitation,Total annual precipitation at 1 km,Total annual precipitation at 1 km (based on CHELSA climate surfaces).,mm rainfall,http://chelsa-climate.org/,Creative Commons Attribution 4.0 International License,,,2015,"Karger, Dirk Nikolaus; Conrad, Olaf; B?hner, J?rgen; Kawohl, Tobias; Kreft, Holger; Soria-Auza, Rodrigo Wilber; Zimmermann, Niklaus E.; Linder, H. Peter; Kessler, Michael (2016): CHELSA climatologies at high resolution for the earth?s land surface areas (Version 1.1). World Data Center for Climate. doi:10.1594/WDCC/CHELSA_v1_13"
B04CHE3,Global precipitation,Temperature seasonality at 1 km,Temperature seasonality at 1 km (based on CHELSA climate surfaces).,Celsius,http://chelsa-climate.org/,Creative Commons Attribution 4.0 International License,,,2015,"Karger, Dirk Nikolaus; Conrad, Olaf; B?hner, J?rgen; Kawohl, Tobias; Kreft, Holger; Soria-Auza, Rodrigo Wilber; Zimmermann, Niklaus E.; Linder, H. Peter; Kessler, Michael (2016): CHELSA climatologies at high resolution for the earth?s land surface areas (Version 1.1). World Data Center for Climate. doi:10.1594/WDCC/CHELSA_v1_15"
B07CHE3,Global precipitation,Temperature Annual Range at 1 km,Temperature Annual Range at 1 km (based on CHELSA climate surfaces).,Celsius,http://chelsa-climate.org/,Creative Commons Attribution 4.0 International License,,,2015,"Karger, Dirk Nikolaus; Conrad, Olaf; B?hner, J?rgen; Kawohl, Tobias; Kreft, Holger; Soria-Auza, Rodrigo Wilber; Zimmermann, Niklaus E.; Linder, H. Peter; Kessler, Michael (2016): CHELSA climatologies at high resolution for the earth?s land surface areas (Version 1.1). World Data Center for Climate. doi:10.1594/WDCC/CHELSA_v1_16"
B13CHE3,Global precipitation,Precipitation of wettest month [mm] ,Precipitation of wettest month [mm] at 1 km (based on CHELSA climate surfaces).,mm rainfall,http://chelsa-climate.org/,Creative Commons Attribution 4.0 International License,,,2015,"Karger, Dirk Nikolaus; Conrad, Olaf; B?hner, J?rgen; Kawohl, Tobias; Kreft, Holger; Soria-Auza, Rodrigo Wilber; Zimmermann, Niklaus E.; Linder, H. Peter; Kessler, Michael (2016): CHELSA climatologies at high resolution for the earth?s land surface areas (Version 1.1). World Data Center for Climate. doi:10.1594/WDCC/CHELSA_v1_17"
B14CHE3,Global precipitation,Precipitation of driest month [mm] at 1 km,Precipitation of driest month [mm] at 1 km (based on CHELSA climate surfaces).,mm rainfall,http://chelsa-climate.org/,Creative Commons Attribution 4.0 International License,,,2015,"Karger, Dirk Nikolaus; Conrad, Olaf; B?hner, J?rgen; Kawohl, Tobias; Kreft, Holger; Soria-Auza, Rodrigo Wilber; Zimmermann, Niklaus E.; Linder, H. Peter; Kessler, Michael (2016): CHELSA climatologies at high resolution for the earth?s land surface areas (Version 1.1). World Data Center for Climate. doi:10.1594/WDCC/CHELSA_v1_18"
LCEE10,ESA land cover,ESA land cover map 2010,ESA land cover map 2010,factor,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-PUG-v2.5.pdf,,,,,
