ID,X,Y,SOC
1102,7550745,4642927,0
3234,7576382,4551518,0
4039,7601131,4568759,0
1804,7498970,4542687,0.018701358
2399,7537324,4570419,0.074262467
1057,7549442,4648465,0.142203194
2503,7532535,4569154,0.142840834
1528,7616462,4637891,0.146086612
2375,7538468,4574121,0.154712418
5453,7484183,4556353,0.156203934
3697,7539055,4538723,0.159935748
1527,7618175,4637229,0.16193704
3471,7539066,4561478,0.168494661
2401,7538370,4570499,0.171609423
1035,7541364,4647799,0.209529175
2251,7535715,4580001,0.223409139
3543,7542684,4554773,0.228578687
4659,7480403,4564703,0.256100691
987,7544014,4646352,0.267926045
6518,7587338,4634286,0.286785097
6518,7587364,4642599,0.286785097
3549,7540909,4553326,0.290076331
6298,7644666,4586148,0.290262017
3684,7541341,4546491,0.290313505
3535,7543739,4557529,0.290487147
2201,7536706,4582973,0.291508964
6390,7544435,4546242,0.301116788
1004,7545294,4643292,0.311647815
1043,7542710,4646019,0.317916667
1995,7488024,4573283,0.325180207
4437,7585146,4582621,0.326418173
2099,7530599,4587361,0.334333889
1475,7608839,4636531,0.338743655
1058,7548309,4649193,0.338829819
2385,7538111,4573701,0.339808316
5517,7522421,4545955,0.358743655
3539,7542677,4556969,0.359046705
3538,7542204,4556871,0.359196895
4596,7461409,4597197,0.362628205
1109,7550484,4644950,0.371289474
1109,7549030,4642383,0.371289474
2393,7537502,4571609,0.379258811
6243,7528757,4592554,0.380328997
1498,7612670,4637194,0.382028871
2362,7536580,4576004,0.387421704
2967,7650712,4587153,0.387725388
6294,7641927,4589526,0.392257709
6529,7583493,4630925,0.392491809
6529,7588631,4636397,0.392491809
2505,7533007,4568671,0.394828824
3685,7539024,4545878,0.398612473
2262,7536677,4579430,0.402007846
5126,7600316,4587483,0.403367593
3839,7533115,4548685,0.410017119
2079,7527444,4584866,0.410022026
3526,7541581,4559532,0.410497714
1792,7497062,4542240,0.410751812
1470,7607775,4635636,0.412734375
2216,7533890,4581493,0.415120549
2272,7538043,4582618,0.416756584
3084,7627476,4561961,0.420263101
3103,7632507,4557141,0.421157499
2773,7627601,4569764,0.422916667
2058,7528404,4587960,0.427338601
6527,7596683,4625641,0.435972508
6527,7580968,4628892,0.435972508
3821,7529723,4552319,0.448409124
2803,7636352,4594888,0.45
3108,7633449,4560448,0.45
3945,7533667,4539726,0.452978779
3528,7542617,4559911,0.455568152
1499,7613414,4637653,0.45889063
