"ProfID","HorID","top","bottom","SOC","BLD","CRF","SAND","SILT","CLAY"
"P0000","P0000H01",4,23,NA,NA,54,52,34,14
"P0000","P0000H02",23,46,NA,NA,62,59,31,11
"P0000","P0000H03",46,59,NA,NA,47,67,24,8
"P0001","P0001H01",2,11,NA,NA,66,45,39,16
"P0001","P0001H02",11,31,NA,NA,70,40,31,28
"P0002","P0002H01",0,22,NA,NA,57,52,33,15
"P0002","P0002H02",22,63,NA,NA,77,48,36,16
"P0002","P0002H03",63,90,NA,NA,87,43,42,16
"P0003","P0003H01",0,19,26.38,NA,8,50,16,34
"P0004","P0004H01",3,10,45.78,NA,4,48,35,17
"P0004","P0004H02",10,25,8.59,NA,8,36,51,13
"P0005","P0005H01",0,10,NA,NA,29,82,12,6
"P0006","P0006H01",0,17,19.94,NA,14,57,34,9
"P0007","P0007H01",0,38,5.9,NA,22,61,26,13
"P0007","P0007H02",38,59,3.68,NA,52,50,37,14
"P0008","P0008H01",0,23,4.26,NA,31,68,31,2
"P0008","P0008H02",23,34,2.8,NA,35,55,43,3
"P0009","P0009H01",0,7,4.93,NA,36,71,25,4
"P0009","P0009H02",7,25,2.59,NA,16,57,36,7
"P0010","P0010H01",0,8,3.26,NA,15,51,42,7
"P0010","P0010H02",8,29,1.93,NA,14,50,40,9
"P0010","P0010H03",29,50,1.79,NA,21,56,34,10
"P0011","P0011H01",0,8,4.91,NA,23,68,31,2
"P0011","P0011H02",8,29,3.55,NA,29,67,31,3
"P0011","P0011H03",29,48,3.23,NA,27,71,25,4
"P0012","P0012H01",0,10,7.69,NA,21,72,25,3
"P0012","P0012H02",10,30,2.92,NA,24,75,21,5
"P0012","P0012H03",30,65,2.86,NA,27,78,21,2
"P0013","P0013H01",0,11,9.76,NA,34,78,21,1
"P0013","P0013H02",11,32,5.75,NA,21,64,34,2
"P0013","P0013H03",32,45,3.18,NA,23,75,24,1
"P0014","P0014H01",0,13,11.36,NA,22,54,43,4
"P0014","P0014H02",13,40,8.19,NA,20,64,33,3
"P0014","P0014H03",40,60,6.63,NA,15,90,9,0
"P0015","P0015H01",0,12,9.87,NA,14,64,31,5
"P0015","P0015H02",12,30,6.25,NA,18,65,34,2
"P0015","P0015H03",30,50,3.47,NA,21,67,28,5
"P0016","P0016H01",0,12,9.23,NA,12,76,23,0
"P0016","P0016H02",12,20,5.64,NA,13,67,31,3
"P0017","P0017H01",0,12,4.52,NA,21,71,24,5
"P0017","P0017H02",12,30,2.94,NA,22,70,24,6
"P0017","P0017H03",30,43,2.68,NA,21,69,24,7
"P0018","P0018H01",0,20,8.12,NA,38,82,18,0
"P0018","P0018H02",20,50,3.14,NA,42,81,16,3
"P0019","P0019H01",0,13,8.43,NA,35,84,16,0
"P0019","P0019H02",13,43,8.12,NA,33,75,20,5
"P0020","P0020H01",0,7,7.06,NA,44,85,15,0
"P0021","P0021H01",0,15,6.81,NA,44,90,10,0
"P0021","P0021H02",15,46,3.13,NA,50,89,12,0
"P0022","P0022H01",0,22,8.13,NA,15,79,19,2
"P0022","P0022H02",22,43,7.11,NA,18,76,21,3
"P0023","P0023H01",0,12,3.28,NA,21,70,24,6
"P0023","P0023H02",12,28,2.02,NA,36,83,17,0
"P0024","P0024H01",0,8,2.99,NA,29,82,17,1
"P0024","P0024H02",8,35,1.9,NA,35,80,16,4
"P0025","P0025H01",0,6,1.47,NA,39,85,14,1
"P0026","P0026H01",0,16,3.79,NA,47,89,11,0
"P0026","P0026H02",16,47,1.24,NA,32,79,16,5
"P0027","P0027H01",0,29,2.81,NA,1,42,51,8
"P0027","P0027H02",29,57,1.88,NA,4,50,40,11
"P0027","P0027H03",57,95,1.7,NA,1,45,41,15
"P0027","P0027H04",95,125,1.07,NA,6,52,40,8
"P0028","P0028H01",0,30,6.76,NA,2,38,45,17
"P0028","P0028H02",30,69,3.38,NA,1,41,37,22
"P0028","P0028H03",69,93,1.82,NA,1,38,44,18
"P0028","P0028H04",93,130,1.62,NA,1,49,38,13
"P0029","P0029H01",0,27,3.33,NA,5,54,37,9
"P0029","P0029H02",27,57,2.17,NA,2,50,40,10
"P0029","P0029H03",57,80,1.72,NA,8,60,35,6
"P0030","P0030H01",0,26,2.99,NA,8,58,37,5
"P0030","P0030H02",26,51,2.24,NA,8,55,34,10
"P0030","P0030H03",51,86,1.69,NA,11,56,40,4
"P0031","P0031H01",0,20,3.02,NA,1,43,41,17
"P0031","P0031H02",20,45,2.48,NA,3,43,39,18
"P0031","P0031H03",45,72,1.81,NA,3,38,40,22
"P0031","P0031H04",72,120,1.8,NA,0,29,50,22
"P0032","P0032H01",0,24,3.97,NA,13,57,36,7
"P0032","P0032H02",24,49,2.38,NA,18,60,32,8
"P0032","P0032H03",49,90,1.71,NA,16,65,28,7
"P0032","P0032H04",90,115,1.19,NA,8,62,33,5
"P0033","P0033H01",0,23,3.61,NA,22,61,36,3
"P0033","P0033H02",23,40,1.92,NA,11,50,45,5
"P0033","P0033H03",40,78,1.82,NA,3,50,44,6
"P0033","P0033H04",78,100,1.22,NA,9,57,36,6
"P0033","P0033H05",100,120,1.59,NA,6,46,45,10
"P0034","P0034H01",0,29,3.2,NA,19,60,32,8
"P0034","P0034H02",29,70,1.82,NA,18,59,33,8
"P0034","P0034H03",70,105,1.3,NA,18,72,22,6
"P0035","P0035H01",0,27,4.44,NA,28,61,34,5
"P0035","P0035H02",27,56,1.99,NA,47,79,20,2
"P0035","P0035H03",56,85,1.56,NA,59,81,16,3
"P0036","P0036H01",0,24,4.47,NA,14,58,38,4
"P0036","P0036H02",24,44,2.48,NA,17,51,41,9
"P0036","P0036H03",44,75,1.69,NA,23,64,28,8
"P0037","P0037H01",0,25,3.83,NA,3,35,53,13
"P0037","P0037H02",25,45,2.42,NA,0,39,47,14
"P0037","P0037H03",45,77,1.23,NA,1,42,52,6
"P0037","P0037H04",77,130,1.89,NA,0,33,47,21
"P0038","P0038H01",0,27,4.01,NA,10,63,29,8
"P0038","P0038H02",27,55,2.33,NA,10,57,29,14
"P0038","P0038H03",55,87,1.79,NA,10,61,24,15
"P0038","P0038H04",87,120,1.15,NA,3,64,24,12
"P0039","P0039H01",0,20,11.84,NA,1,57,33,9
"P0039","P0039H02",20,45,5.62,NA,2,67,28,5
"P0039","P0039H03",45,70,6.88,NA,5,53,37,10
"P0040","P0040H01",0,26,4.47,NA,12,58,32,9
"P0040","P0040H02",26,57,2.07,NA,28,65,25,10
"P0040","P0040H03",57,100,1.37,NA,24,69,20,12
"P0041","P0041H01",0,24,4.84,NA,14,64,29,7
"P0041","P0041H02",24,75,1.74,NA,14,64,27,8
"P0041","P0041H03",75,100,1.11,NA,15,75,18,8
"P0042","P0042H01",0,26,3.76,NA,17,75,22,4
"P0042","P0042H02",26,60,2.25,NA,15,69,24,6
"P0043","P0043H01",0,25,4.99,NA,17,57,32,12
"P0043","P0043H02",25,48,1.65,NA,12,47,31,22
"P0043","P0043H03",48,80,1.45,NA,13,44,24,32
"P0043","P0043H04",80,100,1.11,NA,7,53,15,32
"P0044","P0044H01",0,5,11.54,NA,29,76,23,1
"P0045","P0045H01",0,6,12.24,NA,29,76,22,2
"P0046","P0046H01",0,5,8.26,NA,16,54,33,12
"P0047","P0047H01",0,5,13,NA,25,76,22,2
"P0048","P0048H01",0,5,7.76,NA,20,65,33,2
"P0049","P0049H01",0,6,8.97,NA,16,62,32,6
"P0050","P0050H01",0,20,2.36,NA,6,47,42,11
"P0050","P0050H02",20,40,1.95,NA,4,56,31,12
"P0050","P0050H03",40,65,1.44,NA,NA,31,55,15
"P0051","P0051H01",0,19,3.45,NA,6,53,29,19
"P0051","P0051H02",19,39,3.11,NA,16,51,31,18
"P0051","P0051H03",39,50,2.29,NA,4,53,39,9
"P0052","P0052H01",0,22,3.89,NA,8,45,40,16
"P0052","P0052H02",22,43,3.66,NA,8,38,38,25
"P0052","P0052H03",43,55,3.6,NA,5,36,38,26
"P0056","P0056H01",0,12,5.56,NA,28,71,24,5
"P0057","P0057H01",0,5,9.15,NA,32,72,26,3
"P0058","P0058H01",0,12,4.27,NA,3,51,24,26
"P0058","P0058H02",12,41,2.01,NA,2,39,22,39
"P0058","P0058H03",41,60,1.5,NA,2,64,24,12
"P0059","P0059H01",0,5,6.59,NA,20,63,31,6
"P0060","P0060H01",0,8,4.28,NA,27,74,25,2
"P0061","P0061H01",0,10,7.33,NA,14,52,36,12
"P0062","P0062H01",0,6,10.86,NA,18,65,30,5
"P0063","P0063H01",0,12,4.27,NA,16,70,26,3
"P0063","P0063H02",12,32,2.81,NA,16,68,27,5
"P0064","P0064H01",0,8,5.98,NA,5,54,35,12
"P0066","P0066H01",0,8,6.5,NA,34,82,17,1
"P0067","P0067H01",0,28,4.04,NA,21,72,24,5
"P0068","P0068H01",0,14,4.25,NA,25,57,32,11
"P0068","P0068H02",14,22,2.86,NA,17,41,39,20
"P0069","P0069H01",0,20,4.67,NA,10,42,43,15
"P0071","P0071H01",0,10,8.76,NA,4,52,39,10
"P0072","P0072H01",0,17,5.1,NA,3,57,31,12
"P0072","P0072H02",17,27,3.67,NA,0,62,31,7
"P0073","P0073H01",0,18,4.25,NA,10,69,23,8
"P0074","P0074H01",0,14,3.28,NA,39,77,20,2
"P0074","P0074H02",14,32,2.25,NA,44,64,24,12
"P0075","P0075H01",0,12,4.94,NA,46,78,17,4
"P0075","P0075H02",12,28,4.41,NA,44,63,29,8
"P0076","P0076H01",0,22,3.22,NA,35,68,24,8
"P0076","P0076H02",22,34,1.8,NA,47,73,24,4
"P0077","P0077H01",0,20,5.74,NA,5,84,14,3
"P0077","P0077H02",20,34,4.96,NA,12,76,20,4
"P0078","P0078H01",0,15,9.08,NA,40,57,34,9
"P0078","P0078H02",15,27,6.48,NA,57,50,35,15
"P0079","P0079H01",0,15,4.02,NA,16,79,17,4
"P0079","P0079H02",15,27,2.39,NA,18,64,26,9
"P0080","P0080H01",0,16,4.69,NA,18,60,23,16
"P0080","P0080H02",16,30,2.29,NA,6,54,26,20
