"","ProfID","soiltype","Land.Cover","X","Y"
"1","P0000","Cambisol",25,20.7945692124362,42.0360127058057
"2","P0001","Cambisol",24,20.7825507161748,42.0221426140597
"3","P0002","Cambisol",25,20.8074405893502,42.0332078078179
"4","P0003","Rendzic Leptosols",26,20.8181913630771,42.0282822154768
"5","P0004","Rendzic Leptosols",26,20.814643275622,42.0274661921256
"6","P0005","Complex of Rendzic Leptosol and Leptosol",27,20.8256584507865,42.0268621836932
"7","P0006","Complex of Rendzic Leptosol and Leptosol",27,20.8275731689164,42.0288549321851
"8","P0007","Complex of Mollic and Umbric Leptosol",27,20.8316468671779,42.0227923655491
"9","P0008","Complex of Mollic and Umbric Leptosol",22,20.8203639510004,42.0501379955324
"10","P0009","Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",23,20.9352919753121,42.0204665353222
"11","P0010","Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",20,20.9319567091023,42.0115687565782
"12","P0011","Cambisol",24,20.9042149531902,42.0098832379753
"13","P0012","Cambisol",23,20.9186952325476,42.0155488576618
"14","P0013","Complex of Mollic and Umbric Leptosol",26,20.8851646754612,42.0094515816207
"15","P0014","Complex of Mollic and Umbric Leptosol",26,20.8721024001035,42.0212418792738
"16","P0015","Complex of Mollic and Umbric Leptosol",26,20.8790447548202,42.0025483002752
"17","P0016","Complex of Mollic and Umbric Leptosol",25,20.8602728361057,42.0304480614573
"18","P0017","Cambisol",18,20.9165592512753,42.0331679247576
"19","P0018","Complex of Mollic and Umbric Leptosol",26,20.965125911826,42.0925281528637
"20","P0019","Cambisol",23,20.9924597803616,42.078982503609
"21","P0020","Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",23,20.9693792047947,42.0461597274214
"22","P0021","Complex of Mollic and Umbric Leptosol",25,20.979614683302,42.10947672435
"23","P0022","Cambisol",23,21.0052851391419,42.1044092996547
"24","P0023","Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",23,21.0294964854838,42.0901976823895
"25","P0024","Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",21,21.0721437947484,42.1118688614126
"26","P0025","Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",21,21.0203379153355,42.0656012892707
"27","P0026","Cambisol",21,21.005729104692,42.0666834065042
"28","P0027","Fluvisol",20,21.0164927772748,42.0088505506632
"29","P0028","Fluvisol",20,21.0652694758744,42.0117054258629
"30","P0029","Fluvisol",2,21.0508488064146,42.0051758814976
"31","P0030","Fluvisol",20,21.0084537467346,42.0194220033923
"32","P0031","Fluvisol",20,21.0680418422391,42.0301527849458
"33","P0032","Fluvisol",20,21.0469009324974,42.0376005658918
"34","P0033","Fluvisol",20,21.025280286714,42.0357255562834
"35","P0034","Fluvisol",12,21.0377778044378,42.0510376794909
"36","P0035","Fluvisol",12,21.0549828585367,42.0675167379077
"37","P0036","Fluvisol",20,21.0732651264133,42.0775367650947
"38","P0037","Fluvisol",20,21.0858820478958,42.0232978746858
"39","P0038","Fluvisol",22,21.1023668641024,42.0394913265711
"40","P0039","Gleysol",21,21.122838010989,42.0572988557835
"41","P0040","Fluvisol",12,21.1106035276213,42.0737972882397
"42","P0041","Fluvisol",21,21.0918821052977,42.0977278604726
"43","P0042","Fluvisol",21,21.095247630642,42.1169751390876
"44","P0043","Fluvisol",20,21.1181155199027,42.1363028761948
"45","P0044","Rendzic Leptosols",23,21.1142375044636,42.0110908888501
