ProfID,HorID,top,bottom,SOC,BLD,CRF,Coarse_sand,Fine_sand,Silt,Clay
P1276,P1276H01,0,50,2.78,1.05,11,7,45,39,9
P1276,P1276H02,50,76,1.75,1.45,4,12,44,31,14
P1276,P1276H03,76,100,1.19,1.22,2,6,37,35,22
P1277,P1277H01,0,28,1.93,1.36,8,14,45,22,18
P1277,P1277H02,28,48,1.6,1.43,9,23,46,15,16
P1277,P1277H03,48,63,1.26,NA,25,30,35,21,13
P1277,P1277H04,63,120,0.86,NA,54,24,39,23,14
P1278,P1278H01,0,40,2.32,1.27,0,10,40,39,12
P1278,P1278H02,40,68,1.8,1.48,1,10,36,39,16
P1278,P1278H03,68,120,0.89,1.18,0,8,39,39,14
P…,…,…,…,…,…,…,…,…,…,…
